"Visualization ID","Mode","Statistic","Year","Value","Units","Name","Year ","Percent_1","change_from_previous_year_1","Commuting Mode","Rank","Date","Year 1"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1973","95,165","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1973",,,,,,"1973"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1974","90,995","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1974",,,,,,"1974"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1975","93,333","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1975",,,,,,"1975"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1976","99,245","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1976",,,,,,"1976"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1977","101,570","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1977",,,,,,"1977"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1978","104,958","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1978",,,,,,"1978"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1979","101,206","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1979",,,,,,"1979"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1980","93,982","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1980",,,,,,"1980"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1981","93,023","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1981",,,,,,"1981"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1982","92,016","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1982",,,,,,"1982"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1983","94,442","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1983",,,,,,"1983"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1984","96,443","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1984",,,,,,"1984"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1985","99,063","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1985",,,,,,"1985"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1986","102,436","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1986",,,,,,"1986"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1987","104,096","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1987",,,,,,"1987"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1988","106,199","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1988",,,,,,"1988"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1989","107,391","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1989",,,,,,"1989"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1990","105,370","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1990",,,,,,"1990"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1991","102,718","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1991",,,,,,"1991"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1992","106,556","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1992",,,,,,"1992"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1993","110,097","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1993",,,,,,"1993"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1994","112,191","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1994",,,,,,"1994"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1995","113,873","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1995",,,,,,"1995"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1996","116,773","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1996",,,,,,"1996"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1997","119,482","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1997",,,,,,"1997"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1998","122,363","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1998",,,,,,"1998"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","1999","126,354","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","1999",,,,,,"1999"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2000","126,213","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2000",,,,,,"2000"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2001","127,274","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2001",,,,,,"2001"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2002","130,882","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2002",,,,,,"2002"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2003","136,404","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2003",,,,,,"2003"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2004","139,021","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2004",,,,,,"2004"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2005","136,476","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2005",,,,,,"2005"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2006","135,915","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2006",,,,,,"2006"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2007","126,962","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2007",,,,,,"2007"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2008","121,004","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2008",,,,,,"2008"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2009","121,850","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2009",,,,,,"2009"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2010","123,466","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2010",,,,,,"2010"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2011","123,693","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2011",,,,,,"2011"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2012","123,715","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2012",,,,,,"2012"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2013","123,770","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2013",,,,,,"2013"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2014","126,644","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2014",,,,,,"2014"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2015","126,916","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2015",,,,,,"2015"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2016","129,772","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2016",,,,,,"2016"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2017","129,637","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2017",,,,,,"2017"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2018","129,231","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2018",,,,,,"2018"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2019","131,904","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2019",,,,,,"2019"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2020","112,375","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2020",,,,,,"2020"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2021","124,248","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2021",,,,,,"2021"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2022","124,520","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2022",,,,,,"2022"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Vehicle-miles of travel","2023","2,899,258","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2023",,,,,,"2023"
"Figure 5-12","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","Fuel Consumption","2023","127,939","millions","Vehicle-Miles of Travel and Fuel Use by Personal Vehicles","2023",,,,,,"2023"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","23.3",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","36.7",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","15.3",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","14.7",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","9.7",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","1,524.6",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","97.1",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","0.4",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","2.2",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","0",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1990",,,"Transportation-Related Greenhouse Gas Emissions","1990","0.2",,,,,"1990"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","22.8",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","36.5",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","15.6",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","15.1",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","9.6",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","1,477.9",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","97",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","0.4",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","2.4",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","0",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1991",,,"Transportation-Related Greenhouse Gas Emissions","1991","0.2",,,,,"1991"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","23.4",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","36.7",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","15.3",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","14.8",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","9.5",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","1,536.8",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","96.9",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","0.4",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","2.5",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","0.1",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1992",,,"Transportation-Related Greenhouse Gas Emissions","1992","0.2",,,,,"1992"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","23.5",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","35.8",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","15.3",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","15.3",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","9.7",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","1,573.3",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","96.6",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","0.4",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","2.5",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","0.3",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1993",,,"Transportation-Related Greenhouse Gas Emissions","1993","0.2",,,,,"1993"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","24",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","35.8",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","15.3",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","15",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","9.6",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","1,627.8",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","96.2",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","0.4",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","2.6",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","0.7",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1994",,,"Transportation-Related Greenhouse Gas Emissions","1994","0.2",,,,,"1994"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","24.2",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","35.6",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","15.3",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","15",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","9.6",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","1,662.3",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","95.8",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","0.4",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","2.6",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","1.1",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1995",,,"Transportation-Related Greenhouse Gas Emissions","1995","0.2",,,,,"1995"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","24.3",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","35.1",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","15.3",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","15.5",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","9.4",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","1,717.7",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","95.4",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","0.3",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","2.6",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","1.5",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1996",,,"Transportation-Related Greenhouse Gas Emissions","1996","0.2",,,,,"1996"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","24.5",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","35.1",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","15.6",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","15.2",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","9.2",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","1,743.7",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","94.9",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","0.3",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","2.6",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","2",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1997",,,"Transportation-Related Greenhouse Gas Emissions","1997","0.2",,,,,"1997"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","24.9",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","34.9",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","15.6",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","15.1",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","9.2",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","1,785.9",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Carbon dioxide - CO2","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","94.7",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Methane - CH4","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","0.3",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Nitrous oxide - N2O","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","2.6",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Hydrofluorocarbons - HFCs","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","2.2",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Electric_related","1998",,,"Transportation-Related Greenhouse Gas Emissions","1998","0.2",,,,,"1998"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Transportation","1999",,,"Transportation-Related Greenhouse Gas Emissions","1999","25.7",,,,,"1999"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Industry","1999",,,"Transportation-Related Greenhouse Gas Emissions","1999","34",,,,,"1999"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Commercial","1999",,,"Transportation-Related Greenhouse Gas Emissions","1999","15.6",,,,,"1999"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Residential","1999",,,"Transportation-Related Greenhouse Gas Emissions","1999","15.3",,,,,"1999"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Agriculture","1999",,,"Transportation-Related Greenhouse Gas Emissions","1999","9.1",,,,,"1999"
"Figure 5-13","Transportation-Related Greenhouse Gas Emissions","Total_Teragrams_of_CO2_Equivalent_Units","1999",,,"Transportation-Related Greenhouse Gas Emissions","1999","1,856.9",,,,,"1999"
